id,姓名,实验组数,实验组编号,模式切换技术,目标颜色,目标粗细,开始时间,结束时间,颜色切换时间,像素切换时间,模式切换总时间,绘制完整时间,误触发总数,颜色切换错误数,像素切换错误数,模式切换总错误数,压力1,压力2,压力平均值,方位角1,方位角2,方位角平均值,倾斜角1,倾斜角2,倾斜角平均值,轨道偏出量
1,,1,1,传统画线模式,红色,3.0,12:31:06:901,12:31:08:248,-1620966667419,-1620966668154,-3241933335573,2073,0,1,1,2,0,0,0,0,0,0,0,0,0,4.6
2,,1,2,传统画线模式,蓝色,2.0,12:31:06:901,12:31:08:248,-1620966686274,-1620966687905,-3241933374179,4162,0,1,1,2,0,0,0,0,0,0,0,0,0,12.8
3,,1,3,传统画线模式,红色,2.0,12:31:06:901,12:31:08:248,-1620966697951,-1620966700316,-3241933398267,6551,0,1,1,2,0,0,0,0,0,0,0,0,0,10.7
4,,1,4,传统画线模式,蓝色,3.0,12:31:06:901,12:31:08:248,-1620966721313,-1620966725376,-3241933446689,12235,0,1,1,2,0,0,0,0,0,0,0,0,0,14.244
5,,1,1,传统画线模式,黄色,3.0,13:35:52:682,13:35:56:965,-1620970554578,-1620970556838,-3241941111416,5833,0,1,1,2,0,0,0,0,0,0,0,0,0,18.6	
6,,1,2,传统画线模式,蓝色,4.0,13:37:11:59,13:37:12:137,-1620970640627,-1620970641251,-3241941281878,1806,0,1,1,2,0,0,0,0,0,0,0,0,0,21.286	
7,,1,3,传统画线模式,蓝色,4.0,13:37:11:59,13:37:12:137,-1620970640627,-1620970641251,-3241941281878,18284,0,1,1,2,0,0,0,0,0,0,0,0,0,18.0	
8,,1,1,传统画线模式,红色,2.0,13:38:34:05,13:38:35:414,-1620970714646,-1620970715272,-3241941429918,1972,0,1,1,2,0,0,0,0,0,0,0,0,0,4.0		
9,,1,1,传统画线模式,黄色,2.0,13:39:17:378,13:39:18:756,-1620970758036,-1620970758692,-3241941516728,1895,0,1,1,2,0,0,0,0,0,0,0,0,0,15.5
10,,1,1,传统画线模式,黄色,3.0,13:42:24:311,13:42:25:246,-1620970944624,-1620970945153,-3241941889777,1374,0,1,1,2,0,0,0,0,0,0,0,0,0,6.0
11,,1,1,传统画线模式,黄色,2.0,13:44:48:378,13:44:51:610,-1620971090010,-1620971091387,-3241942181397,4995,0,1,1,2,0,0,0,0,0,0,0,0,0,12.6
12,,1,1,传统画线模式,红色,4.0,13:45:14:694,13:45:19:411,-1620971116640,-1620971119114,-3241942235754,6314,0,1,1,2,0,0,0,0,0,0,0,0,0,23.609
13,,1,2,传统画线模式,蓝色,3.0,13:45:14:694,13:45:19:411,-1620971134991,-1620971135759,-3241942270750,2384,0,1,1,2,0,0,0,0,0,0,0,0,0,3.333
14,,1,3,传统画线模式,黄色,2.0,13:45:14:694,13:45:19:411,-1620971143407,-1620971144102,-3241942287509,2670,0,1,1,2,0,0,0,0,0,0,0,0,0,6.0
15,,1,1,传统画线模式,红色,4.0,13:47:45:972,13:47:48:378,-1620971266957,-1620971268191,-3241942535148,3669,0,1,1,2,0,0,0,0,0,0,0,0,0,16.471
